building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10997,17.668558641952835,6.560934260834178,55.756522114720106,35.56172252937112
5322,13.53496564205587,6.618763917878483,30.180886941153133,60.57818896643763
7512,14.98729024677207,7.001042247659716,40.512148561488324,49.85484982322177
10417,16.041945132934217,6.709192871560163,45.70313898135223,43.34979777372132
2595,20.350096221811707,5.578514301238556,73.46912995420811,17.741986420337913
6647,13.591057717208688,7.274272513791997,34.71913288191415,56.421663205240066
7767,16.880656057619028,6.60030233797843,50.25156971183833,38.97597959721125
3514,15.587749594722716,7.297984230152228,43.945257353551796,47.74535368466508
22485,16.42132123314309,6.9785492677620855,47.675692376832764,40.895174428402896
11042,15.650478685233544,7.067859457696766,44.45043798445067,46.93645414355571
8674,13.672206707736468,7.1164424336755205,32.740910511511615,58.222731534534844
7748,12.312452596041167,6.927870763408358,27.10688082490581,64.98966034956517
45383,17.977804618953595,7.0087622250219015,58.74636201728857,33.41840059076495
13577,15.343568374945423,6.510457108784709,40.062606226199954,49.166326025687916
29753,15.619340429052693,7.068231913369604,43.17064043622367,47.16000213835133
47673,13.42087159920306,7.767125847384521,34.98363949197888,57.84558465195381
11463,18.337907908962045,6.701697959266556,60.729407656379585,31.380680082063815
51673,11.768917968871662,6.375410660742952,21.77772176511892,70.45352249608412
1854,9.347119876840582,6.104405406293837,15.308177626789615,78.51007037126911
47259,13.344298552527691,7.575158026938361,34.527444565612505,58.022537259178485
